Time ALE-M BLT-M SSP-M DSP-M LWF-M RDG-M YPH-M WAE-M RSM-M CHK-M CHO-M STH-M LKT-M BBT-M COP-M CLA-M BYT-M MYS-M ROT-M PRO-M PB-M BB-M AMP-M CHI-M DIP-M OLI-M GRN-M PIC-M MA-M DL-M DR-M DC-M ALE-F BLT-F SSP-F DSP-F LWF-F RDG-F YPH-F WAE-F RSM-F CHK-F CHO-F STH-F LKT-F BBT-F COP-F CLA-F BYT-F MYS-F ROT-F PRO-F PB-F BB-F AMP-F CHI-F DIP-F OLI-F GRN-F PIC-F MA-F DL-F DR-F DC-F
0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.650000e+002 3.128179e+000 4.401942e-001 1.783338e+001 7.816306e+000 6.258102e-003 4.469366e+001 1.035589e+002 0.000000e+000 1.410214e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.148587e-011 8.092925e-011 6.832192e-011 1.098854e-013 6.239014e-012 1.647489e-010 4.079393e-011 5.840417e-011 5.227897e-011 9.541556e-012 8.444162e-012 1.114543e-010 1.028502e-011 2.016113e-011 3.034146e-008 1.551824e-010 2.266281e-010 0.000000e+000 4.110670e-002 2.984477e-001 0.000000e+000 0.000000e+000 2.649317e-001 0.000000e+000 3.750747e-001 1.280879e-001 7.761127e-002 2.053330e-001 4.903430e-003 5.181130e-003 4.051415e-001 1.316446e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
7.300000e+002 4.723636e+000 4.044600e-001 1.659032e+001 7.175225e+000 4.816467e-003 4.038870e+001 1.147956e+002 0.000000e+000 2.208913e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 5.388494e-014 3.244349e-014 1.856574e-014 1.996836e-013 9.975927e-015 2.662211e-014 4.728655e-015 2.299427e-013 4.281538e-013 2.041352e-014 2.095746e-014 2.542066e-013 1.241701e-014 2.074503e-014 3.212740e-011 4.169780e-015 1.816122e-014 0.000000e+000 2.456524e-002 2.046587e-001 0.000000e+000 0.000000e+000 7.103399e-001 0.000000e+000 2.316029e-001 4.183940e-002 6.464798e-002 9.383893e-002 7.671115e-003 7.484166e-003 1.270713e+000 1.369182e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.095000e+003 1.854963e+000 2.342377e-001 2.372803e+001 3.315464e+001 1.192742e-002 1.296532e+001 2.334360e+021 0.000000e+000 1.235644e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 5.023431e-014 9.110531e-014 4.260972e-014 9.785024e-014 2.597414e-015 3.518271e-014 6.690823e-015 3.160214e-013 5.220341e-013 2.093635e-014 1.974667e-014 2.855824e-013 1.354533e-014 1.100170e-014 4.137370e-011 6.738931e-015 3.449242e-014 0.000000e+000 4.616087e-002 1.840582e-001 0.000000e+000 0.000000e+000 5.160794e-001 0.000000e+000 2.828631e+007 6.555878e-002 9.621948e-002 3.157287e-002 6.872782e-003 9.222980e-003 1.747047e+000 1.616245e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.460000e+003 8.163247e-001 1.924926e-001 3.999071e+001 5.715574e+001 1.612858e-002 5.008863e+000 1.577889e+021 0.000000e+000 6.284182e-001 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 8.500091e-014 1.904599e-013 2.538557e-013 6.997630e-014 3.534572e-015 6.179711e-014 1.659963e-014 4.446092e-013 7.479875e-013 2.276835e-014 2.365870e-014 3.612590e-013 2.079999e-014 1.478880e-014 4.792377e-011 1.884675e-014 3.377516e-014 0.000000e+000 5.979402e-002 1.564085e-001 0.000000e+000 0.000000e+000 1.140857e-001 0.000000e+000 2.450908e+007 4.132999e-002 1.058746e-001 8.674470e-001 3.864424e-003 1.399103e-002 9.536388e+005 2.120481e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.825000e+003 2.709583e+002 1.570031e-001 4.849523e+001 6.026504e+001 1.197390e-002 2.555883e+000 6.560661e+001 0.000000e+000 3.213595e+006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 1.551148e-013 7.310553e-014 2.357583e-013 2.144404e-013 3.708402e-015 4.908601e-014 1.701090e-014 6.230229e-013 7.994349e-013 2.428210e-014 6.345235e-014 4.648705e-013 2.619246e-014 4.018086e-013 3.530073e-011 1.924975e-014 4.005424e-014 0.000000e+000 2.746085e-004 1.561432e-001 0.000000e+000 0.000000e+000 9.701041e-002 0.000000e+000 1.875414e-001 1.161675e-002 1.277186e+000 5.649896e-002 1.297824e-002 3.182180e-003 9.536388e+005 3.028033e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.190000e+003 2.159566e+009 1.073952e-001 5.174842e+001 5.819596e+001 8.144050e-003 8.177489e+000 2.498315e+000 0.000000e+000 1.132013e+023 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 7.481675e-014 1.383173e-013 9.028547e-014 1.596982e-013 2.324197e-015 1.234480e-014 2.936272e-014 7.117623e-013 7.078693e-013 2.537954e-014 4.152491e-013 6.651225e-013 2.054691e-014 3.878298e-014 4.169373e-011 2.318843e-014 2.776828e-014 0.000000e+000 5.186549e-009 1.590219e-001 0.000000e+000 0.000000e+000 9.707320e-002 0.000000e+000 3.992073e-002 2.170107e-002 2.184785e+007 1.670153e-001 2.047717e-002 2.076310e-002 9.536388e+005 3.875759e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.555000e+003 3.211707e+006 8.209733e+001 6.021372e+001 6.609247e+001 8.233570e-003 4.742429e+000 5.258570e+021 0.000000e+000 1.503387e+023 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 7.892327e-014 5.386631e-014 6.101480e-014 9.440122e-014 1.264832e-015 5.781665e-015 8.028296e-015 6.618757e-013 7.000328e-013 2.668000e-014 5.670778e-013 6.484960e-013 1.102465e-014 1.987051e-014 4.458673e-011 4.817765e-015 5.098274e-015 0.000000e+000 6.085593e-008 1.718312e-004 0.000000e+000 0.000000e+000 9.166158e-002 0.000000e+000 1.669708e+007 1.970348e-002 2.021677e+007 1.680538e-001 1.272152e-002 2.279007e-002 2.615695e+007 4.986967e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.920000e+003 8.579059e+000 2.600436e+004 6.884199e+001 7.618495e+001 8.430262e-003 3.835000e+000 4.926315e+021 0.000000e+000 2.025463e+001 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 1.385269e-013 1.002530e-013 2.531524e-013 6.739194e-014 3.194857e-015 3.786278e-014 2.095828e-013 9.586682e-013 9.826883e-013 3.602595e-014 8.289870e-013 9.654310e-013 3.411462e-014 3.307159e-013 5.224063e-011 1.611439e-013 2.373878e-013 0.000000e+000 7.822169e-003 4.293768e-007 0.000000e+000 0.000000e+000 1.476739e-001 0.000000e+000 1.832815e+007 1.272301e-002 5.859676e-001 5.715845e-002 1.032766e-002 2.222053e-002 2.751929e+007 5.341342e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.285000e+003 1.728039e+000 2.355192e+003 6.524851e+001 7.177964e+001 6.393084e-003 3.067244e+000 4.090035e+021 0.000000e+000 3.291233e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 1.110374e-013 6.598154e-014 1.274990e-013 1.691921e-013 1.257886e-015 8.259425e-014 1.000028e-013 8.885140e-013 8.565620e-013 4.169816e-014 7.648819e-013 9.964081e-013 1.731247e-014 1.151296e-013 6.672477e-011 1.797624e-013 3.090635e-013 0.000000e+000 3.830518e-002 7.237042e-006 0.000000e+000 0.000000e+000 9.429798e-002 0.000000e+000 1.502308e+007 7.818075e-002 1.624067e-001 8.508965e-002 1.223552e-002 2.059281e-002 2.615695e+007 5.505141e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
