Time ALE-M BLT-M SSP-M DSP-M LWF-M RDG-M YPH-M WAE-M RSM-M CHK-M CHO-M STH-M LKT-M BBT-M COP-M CLA-M BYT-M MYS-M ROT-M PRO-M PB-M BB-M AMP-M CHI-M DIP-M OLI-M GRN-M PIC-M MA-M DL-M DR-M DC-M ALE-F BLT-F SSP-F DSP-F LWF-F RDG-F YPH-F WAE-F RSM-F CHK-F CHO-F STH-F LKT-F BBT-F COP-F CLA-F BYT-F MYS-F ROT-F PRO-F PB-F BB-F AMP-F CHI-F DIP-F OLI-F GRN-F PIC-F MA-F DL-F DR-F DC-F
3.650000e+003 7.034136e+003 4.732538e+002 5.775891e+001 6.262992e+001 6.467749e-003 2.333758e+000 7.147115e+000 0.000000e+000 2.688002e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 6.312222e-014 4.132803e-014 1.614730e-013 1.227714e-013 2.023040e-015 1.051831e-013 1.927146e-013 8.313435e-013 8.999049e-013 3.693922e-014 7.674834e-013 1.033767e-012 3.668852e-014 1.720930e-013 3.889909e-011 4.095906e-013 6.954248e-013 0.000000e+000 4.707799e-005 8.355940e-005 0.000000e+000 0.000000e+000 1.404714e-001 0.000000e+000 1.561321e-002 1.083773e-001 6.045704e-002 2.342376e-001 1.217524e-002 2.066668e-002 2.629318e+007 5.526749e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
4.015000e+003 5.556025e+002 1.151068e+002 4.842482e+001 5.243651e+001 1.840097e-002 2.201323e+000 2.864856e+000 0.000000e+000 2.958529e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 9.910803e-014 5.208075e-014 1.757326e-013 1.135036e-013 2.036007e-015 5.990442e-013 1.577610e-013 7.010010e-013 8.278978e-013 4.625506e-014 8.461254e-013 9.540196e-013 2.570200e-014 3.033022e-013 8.953255e-011 1.958508e-012 2.031760e-012 0.000000e+000 2.832725e-004 7.221489e-004 0.000000e+000 0.000000e+000 3.565839e-001 0.000000e+000 3.986625e-002 1.236725e-001 8.578065e-002 9.551390e-001 5.107680e-001 2.577452e-002 2.479461e+007 6.190626e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
4.380000e+003 7.088071e+000 1.583361e+001 3.628162e+001 3.894299e+001 1.359875e-002 2.017046e+000 3.608275e+000 0.000000e+000 2.877302e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 9.839504e-014 1.305883e-013 1.625748e-013 9.891832e-014 2.442000e-015 3.850634e-014 1.903549e-014 7.868837e-013 8.137327e-013 6.628634e-014 1.037758e-012 1.019649e-012 2.973866e-014 3.540549e-013 4.699949e-011 1.458675e-014 2.470756e-014 0.000000e+000 1.425855e-002 6.323603e-003 0.000000e+000 0.000000e+000 2.311416e-001 0.000000e+000 4.340641e-002 2.097421e-002 1.242262e-001 8.384145e-001 1.211353e-002 3.044584e-002 2.642942e+007 6.722166e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
4.745000e+003 5.939280e-001 1.620232e+000 2.659573e+001 2.854761e+001 1.276545e-002 2.177971e+000 5.126570e+000 0.000000e+000 2.277421e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.950876e-013 1.327769e-013 5.590496e-013 1.142753e-013 4.926888e-015 7.019016e-013 1.504757e-013 8.181531e-013 9.014948e-013 1.079355e-013 1.124303e-012 1.295505e-012 3.541300e-014 3.071263e-013 8.823698e-011 5.961849e-013 7.030666e-013 0.000000e+000 1.130243e-001 4.241858e-002 0.000000e+000 0.000000e+000 1.489246e-001 0.000000e+000 4.102269e-002 4.775968e-002 1.354450e-001 3.437994e-001 1.632955e-001 2.823005e-002 2.533955e+007 6.924416e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.110000e+003 4.487453e+001 2.491204e-001 1.611873e+001 1.783050e+001 1.231083e-002 2.109759e+000 5.955024e+000 0.000000e+000 1.972214e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 1.866069e-013 7.817518e-014 3.159419e-013 1.198351e-013 1.999418e-015 6.937394e-014 1.683571e-013 7.730323e-013 8.424900e-013 1.534213e-013 1.072771e-012 1.118441e-012 2.755506e-014 3.092330e-013 9.462307e-011 2.253951e-013 2.404774e-013 0.000000e+000 3.619846e-003 1.134965e-001 0.000000e+000 0.000000e+000 1.621390e-001 0.000000e+000 3.461563e-002 9.268729e-002 9.118845e-002 1.318653e-001 4.261277e-003 2.537888e-002 2.561201e+007 6.784153e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.475000e+003 6.105412e+001 1.501609e-001 1.442277e+001 1.602473e+001 1.229584e-002 1.849957e+000 5.178526e+000 0.000000e+000 1.906582e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 6.751720e-014 5.270280e-014 1.004862e-013 1.201763e-013 1.155768e-015 1.389218e-013 2.527528e-013 7.040308e-013 8.135483e-013 1.908347e-013 9.495654e-013 1.061581e-012 1.375595e-014 1.013290e-013 8.137553e-011 3.637338e-013 6.242307e-013 0.000000e+000 2.325708e-003 1.505179e-001 0.000000e+000 0.000000e+000 2.165550e-001 0.000000e+000 3.841164e-002 3.196021e-002 7.437607e-002 2.941380e-001 1.100342e-002 2.109827e-002 2.574825e+007 6.693116e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.840000e+003 2.520675e+001 1.367096e-001 1.430425e+001 1.597654e+001 1.413276e-002 1.826281e+000 5.020696e+000 0.000000e+000 2.128811e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 1.699091e-013 9.169901e-014 2.111539e-013 1.074593e-013 1.740491e-015 1.513630e-013 5.539550e-013 6.743375e-013 9.772528e-013 2.538454e-013 1.018754e-012 1.253858e-012 2.339068e-014 1.312481e-013 8.699194e-011 5.411120e-013 7.359052e-013 0.000000e+000 2.946023e-003 1.508736e-001 0.000000e+000 0.000000e+000 2.567509e-001 0.000000e+000 3.722608e-002 2.062889e-002 5.438133e-002 9.655469e-001 1.920881e-002 2.425497e-002 2.629318e+007 6.043617e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
6.205000e+003 8.712845e-001 1.304918e-001 1.252869e+001 1.395797e+001 1.535341e-002 1.881368e+000 5.187489e+000 0.000000e+000 2.122437e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.020698e-013 1.799179e-013 4.540796e-013 1.096489e-013 1.665895e-015 1.291501e-012 1.751850e-013 7.871948e-013 9.747830e-013 3.449595e-013 1.088508e-012 1.319217e-012 2.782382e-014 1.668175e-013 1.002022e-010 2.552130e-012 3.280163e-012 0.000000e+000 7.090361e-002 1.625919e-001 0.000000e+000 0.000000e+000 2.552907e-001 0.000000e+000 4.536205e-002 2.924096e-002 8.400481e-002 5.761486e-001 1.956511e-002 2.554586e-002 2.670189e+007 6.038053e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
6.570000e+003 1.177887e+000 1.346260e-001 1.157771e+001 1.256699e+001 1.802466e-002 2.031409e+000 5.584758e+000 0.000000e+000 2.343832e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.472033e-013 1.687326e-013 4.687743e-013 1.130855e-013 2.598555e-015 1.823218e-013 3.482493e-014 7.953289e-013 9.863574e-013 4.694241e-013 1.142975e-012 1.483967e-012 4.018027e-014 3.643704e-013 4.384306e-011 3.525089e-014 4.781735e-014 0.000000e+000 4.817476e-002 1.629408e-001 0.000000e+000 0.000000e+000 2.271900e-001 0.000000e+000 4.595861e-002 2.544532e-002 8.080490e-002 8.584167e-002 1.192508e-002 2.170267e-002 2.779176e+007 6.391950e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
6.935000e+003 2.619014e+001 1.319521e-001 1.189187e+001 1.255501e+001 1.462301e-002 2.158962e+000 5.400747e+000 0.000000e+000 2.226301e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.735908e-013 2.912596e-013 4.807504e-013 1.287927e-013 3.354692e-015 2.458618e-013 5.490798e-013 8.139550e-013 1.030405e-012 6.662767e-013 1.195249e-012 1.561583e-012 5.146884e-014 3.907783e-013 1.096535e-010 5.623477e-013 7.152267e-013 0.000000e+000 6.071482e-003 1.669222e-001 0.000000e+000 0.000000e+000 1.823466e-001 0.000000e+000 5.037596e-002 5.866969e-002 6.515382e-002 6.952579e-002 1.095608e-002 2.633766e-002 2.751929e+007 6.872101e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
