Time ALE-M BLT-M SSP-M DSP-M LWF-M RDG-M YPH-M WAE-M RSM-M CHK-M CHO-M STH-M LKT-M BBT-M COP-M CLA-M BYT-M MYS-M ROT-M PRO-M PB-M BB-M AMP-M DRE-M CHI-M DIP-M OLI-M GRN-M PIC-M MA-M DL-M DR-M DC-M ALE-F BLT-F SSP-F DSP-F LWF-F RDG-F YPH-F WAE-F RSM-F CHK-F CHO-F STH-F LKT-F BBT-F COP-F CLA-F BYT-F MYS-F ROT-F PRO-F PB-F BB-F AMP-F DRE-F CHI-F DIP-F OLI-F GRN-F PIC-F MA-F DL-F DR-F DC-F
0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.650000e+002 3.180031e+000 4.421673e-001 1.791780e+001 7.853342e+000 6.503257e-003 4.502406e+001 1.049291e+002 0.000000e+000 1.433742e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.021973e-011 6.681548e-011 5.268672e-011 1.022276e-013 3.956662e-012 6.656363e-010 8.125308e-012 6.446388e-011 5.470683e-011 1.006406e-014 9.572381e-012 8.877085e-012 1.125723e-010 9.567292e-012 1.919885e-011 3.679309e-008 7.137185e-010 1.103338e-009 0.000000e+000 4.107875e-002 2.984385e-001 0.000000e+000 0.000000e+000 2.650064e-001 0.000000e+000 3.762777e-001 1.283371e-001 7.765213e-002 2.054984e-001 4.903430e-003 5.181130e-003 4.051587e-001 1.316446e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
7.300000e+002 4.773520e+000 4.068751e-001 1.669317e+001 7.222827e+000 4.913252e-003 4.057601e+001 1.154476e+002 0.000000e+000 2.236476e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 3.996538e-014 2.021765e-014 1.905484e-014 1.936302e-013 1.061411e-014 1.767783e-014 5.003023e-015 1.869960e-013 3.025595e-013 2.069595e-015 2.035789e-014 1.934498e-014 2.450071e-013 8.234997e-015 1.266034e-014 3.586621e-011 5.370534e-015 8.135733e-015 0.000000e+000 2.450691e-002 2.046321e-001 0.000000e+000 0.000000e+000 7.118832e-001 0.000000e+000 2.329607e-001 4.196064e-002 6.472414e-002 9.650759e-002 7.671115e-003 7.484166e-003 1.288368e+000 1.369182e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.095000e+003 1.829908e+000 2.345963e-001 2.375352e+001 3.323085e+001 1.170720e-002 1.393499e+001 2.276569e+021 0.000000e+000 1.224436e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 3.080661e-014 2.151523e-014 4.343304e-014 9.544106e-014 2.531126e-015 4.106016e-014 3.991260e-014 3.061472e-013 4.863169e-013 1.388063e-015 2.083919e-014 1.808110e-014 2.788289e-013 1.073743e-014 6.329879e-014 3.647958e-011 9.445890e-014 1.729025e-013 0.000000e+000 4.648414e-002 1.840202e-001 0.000000e+000 0.000000e+000 5.085578e-001 0.000000e+000 2.828631e+007 6.758397e-002 9.757274e-002 3.409658e-002 6.872782e-003 9.222980e-003 1.754062e+000 1.616245e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.460000e+003 7.871824e-001 1.904612e-001 3.958361e+001 5.662359e+001 1.513033e-002 6.468393e+000 1.496197e+021 0.000000e+000 6.091288e-001 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 4.449188e-014 4.358637e-014 1.129773e-013 6.931192e-014 3.017075e-015 2.851098e-014 1.737081e-014 4.476799e-013 7.342005e-013 8.818112e-016 2.257582e-014 1.938831e-014 3.559632e-013 2.273573e-014 5.556785e-014 3.877499e-011 2.296477e-014 5.261119e-014 0.000000e+000 6.272839e-002 1.564353e-001 0.000000e+000 0.000000e+000 1.071683e-001 0.000000e+000 2.450908e+007 4.383303e-002 1.094819e-001 1.071286e+000 3.864424e-003 1.399103e-002 9.536388e+005 2.120481e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.825000e+003 2.613420e+002 1.544920e-001 4.776406e+001 5.929913e+001 1.072557e-002 4.220713e+000 1.727830e+021 0.000000e+000 3.202791e+006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 6.764379e-014 5.091088e-014 1.911932e-013 2.066960e-013 3.676134e-015 2.948409e-013 9.944016e-014 6.185630e-013 8.846460e-013 7.135284e-016 2.379595e-014 2.368323e-014 4.763117e-013 2.173808e-014 3.069699e-013 4.903688e-011 1.396480e-012 1.354050e-012 0.000000e+000 3.307140e-004 1.562958e-001 0.000000e+000 0.000000e+000 9.760129e-002 0.000000e+000 1.618200e+007 1.236289e-002 1.407022e+000 7.297825e-002 1.297824e-002 3.182180e-003 9.536388e+005 3.028033e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.190000e+003 5.248551e+008 1.065056e-001 5.139396e+001 5.773054e+001 7.366163e-003 1.677983e+001 2.225283e+000 0.000000e+000 1.118253e+023 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.909874e-014 3.809200e-014 1.798204e-013 1.632404e-013 2.361420e-015 7.488925e-014 2.634424e-013 6.927958e-013 8.346722e-013 7.057335e-016 2.367842e-014 5.994635e-014 6.095291e-013 1.856674e-014 9.299997e-015 3.512196e-011 4.699795e-013 6.307678e-013 0.000000e+000 5.900668e-009 1.591822e-001 0.000000e+000 0.000000e+000 1.004906e-001 0.000000e+000 4.373076e-002 2.332338e-002 2.184785e+007 1.898232e-001 2.047717e-002 2.076310e-002 9.536388e+005 3.875759e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.555000e+003 8.559697e+005 8.077480e+001 5.942115e+001 6.510852e+001 7.578350e-003 1.060178e+001 4.760023e+021 0.000000e+000 1.438663e+023 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.947952e-014 2.750375e-014 4.903143e-014 1.006911e-013 1.400640e-015 6.701477e-014 1.841970e-013 7.317957e-013 7.757341e-013 7.615965e-016 2.316776e-014 1.745361e-013 5.951555e-013 1.093019e-014 3.436728e-014 4.671845e-011 3.244381e-013 5.211869e-013 0.000000e+000 2.202747e-007 1.722070e-004 0.000000e+000 0.000000e+000 9.670085e-002 0.000000e+000 1.669708e+007 2.174070e-002 2.021677e+007 1.802184e-001 1.272152e-002 2.279019e-002 2.615695e+007 4.986967e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.920000e+003 6.440345e+000 2.614852e+004 6.767841e+001 7.472635e+001 8.101493e-003 9.170118e+000 4.643241e+021 0.000000e+000 1.499432e+001 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 4.989412e-014 4.383426e-014 2.084831e-013 7.245797e-014 2.976198e-015 1.188921e-013 9.377651e-014 9.629797e-013 1.050264e-012 7.443775e-016 2.737730e-014 4.177224e-013 8.504448e-013 3.715400e-014 9.862121e-014 3.609076e-011 1.152559e-012 1.156125e-012 0.000000e+000 1.163817e-002 4.280381e-007 0.000000e+000 0.000000e+000 1.652463e-001 0.000000e+000 1.832815e+007 1.464404e-002 5.077359e-001 6.263233e-002 1.032766e-002 2.227677e-002 2.751929e+007 5.341342e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.285000e+003 1.296322e+000 2.610687e+003 6.449197e+001 7.098638e+001 5.814899e-003 8.445945e+000 3.914370e+021 0.000000e+000 2.910555e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 3.514760e-014 3.502254e-014 1.170621e-013 1.794207e-013 1.845405e-015 1.150603e-013 6.153833e-013 8.638057e-013 9.297098e-013 8.533194e-016 2.674850e-014 4.568143e-013 7.830838e-013 1.801153e-014 1.104883e-014 4.706409e-011 8.322791e-013 1.609692e-012 0.000000e+000 4.745950e-002 6.969147e-006 0.000000e+000 0.000000e+000 1.018268e-001 0.000000e+000 1.502308e+007 8.923465e-002 1.473217e-001 9.106585e-002 1.223552e-002 2.066231e-002 2.615695e+007 5.505710e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
