Time ALE BLT SSP DSP LWF RDG YPH WAE RSM CHK CHO STH LKT BBT COP CLA BYT MYS ROT PRO PB BB AMP DRE CHI DIP OLI GRN PIC MA DL DR DC DIN RelALE RelBLT RelSSP RelDSP RelLWF RelRDG RelYPH RelWAE RelRSM RelCHK RelCHO RelSTH RelLKT RelBBT RelCOP RelCLA RelBYT RelMYS RelROT RelPRO RelPB RelBB RelAMP RelDRE RelCHI RelDIP RelOLI RelGRN RelPIC RelMA RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+000 142669.300600 228646.802345 9652.600000 42383.769780 26420.495602 579.920592 2615.004304 734.060000 59302.742204 7275.912160 1015.091259 6471.814673 5427.586354 18322.011742 1508922.249056 332228.914328 9931.398138 164005.376690 67391.630305 130526.947155 1905872.131347 771609.834352 47151.709509 238835.305223 37249.850512 979146.505634 586449.387023 253693.416859 203816.798616 5200.535705 312289.003230 312289.003230 0.000000 180486629.244492 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 -734.252719 25.885294
1.000000e+002 150071.805550 227566.812968 10894.324679 38815.529652 28420.658492 822.937514 2652.694995 561.569302 54565.447375 8365.891676 1052.985841 7062.527357 5286.801482 15535.911474 1393208.536725 276497.889587 7653.039529 172204.075230 66883.207303 137749.080807 12776720.577021 1322361.427606 47686.933757 302171.104205 35478.921779 874912.097997 553142.389238 147834.710556 56922.325602 2246375.792864 662232.452712 705562.125041 0.000000 172054745.329378 1.051886 0.995277 1.128641 0.915811 1.075705 1.419052 1.014413 0.765018 0.920117 1.149807 1.037331 1.091275 0.974061 0.847937 0.923314 0.832251 0.770590 1.049990 0.992456 1.055331 6.703871 1.713770 1.011351 1.265186 0.952458 0.893546 0.943206 0.582730 0.279282 431.950845 2.120576 2.259324 1.000000 0.953283 0.500329 1.736895 25.382353 6718.089921 -974.514996 0.416241
2.000000e+002 189190.418077 295776.497160 12486.256595 46162.098052 36606.026347 1062.278029 2814.464913 642.690410 50128.930668 11726.354937 1286.626707 7565.171085 4142.990245 18540.896338 1992806.876832 642941.872212 5822.622690 219908.786339 62848.516772 663158.837744 9675117.437866 1623925.622667 50856.380735 377242.598409 33547.156887 719000.120830 518520.063756 2887455.157251 12317.061863 1267954.724396 1136588.599942 469573.845719 0.000000 175229760.088955 1.326077 1.293596 1.293564 1.089146 1.385516 1.831765 1.076275 0.875528 0.845305 1.611668 1.267499 1.168941 0.763321 1.011947 1.320682 1.935238 0.586284 1.340863 0.932586 5.080628 5.076478 2.104594 1.078569 1.579509 0.900598 0.734313 0.884168 11.381672 0.060432 243.812329 3.639541 1.503652 1.000000 0.970874 0.372647 2.180098 27.647059 5633.351642 -1449.951768 0.163661
3.000000e+002 336249.117884 327320.185614 24146.478686 53662.844837 64771.945137 1427.573116 3603.301323 782.106293 49959.547728 8046.304897 554.396510 8569.796221 2645.516593 20574.566183 1923100.655878 721157.001027 19864.826463 328427.618148 35772.039650 1051784.063576 8462420.821869 1765220.305935 58283.609779 474253.754156 31523.685471 618959.301721 483171.107937 1989409.805564 1520.196888 1094367.598050 1343817.731732 501131.644623 0.000000 173632060.662881 2.356843 1.431554 2.501552 1.266118 2.451579 2.461670 1.377933 1.065453 0.842449 1.105883 0.546154 1.324172 0.487420 1.122943 1.274486 2.170663 2.000204 2.002542 0.530808 8.057984 4.440183 2.287711 1.236087 1.985694 0.846277 0.632142 0.823892 7.841787 0.007459 210.433628 4.303122 1.604705 1.000000 0.962022 0.375889 3.989886 27.676471 4684.775366 -3736.589087 0.352761
3.650000e+002 405011.706723 339922.146631 23648.934030 50730.582271 65713.316783 1650.048670 4070.137158 918.468428 50026.855149 10935.631849 601.998064 9505.928162 2570.549247 22759.475256 1844551.257053 620046.735624 16389.115015 397074.775928 31852.865977 1023788.018488 8083959.177467 1772012.602687 64013.309855 546557.198846 30217.268978 560048.211228 460671.318479 1946455.752094 456.458324 909087.487600 1448080.203182 438258.766531 0.000000 172161034.084364 2.838815 1.486669 2.450007 1.196934 2.487210 2.845301 1.556455 1.251217 0.843584 1.502991 0.593048 1.468820 0.473608 1.242193 1.222430 1.866324 1.650232 2.421108 0.472653 7.843499 4.241606 2.296514 1.357603 2.288427 0.811205 0.571976 0.785526 7.672472 0.002240 174.806508 4.636987 1.403376 1.000000 0.953871 719660823692765150000000.000000 1.322700 23.794118 4090.297024 -3663.150617 0.340504
4.000000e+002 416131.180607 293663.035637 24160.845248 51609.646087 68960.646351 1812.316869 4155.581073 969.138595 49409.918071 12440.330962 618.372610 9922.003543 2550.721409 18091.034305 1752790.837579 542777.729699 15758.858250 367396.422707 31588.260681 1135609.162254 8171771.049767 1786276.235676 66015.585568 583448.333290 29612.172937 539395.563246 451165.708389 1696012.028456 284.942479 364859.867436 1540171.388376 381292.750357 0.000000 171923086.985309 2.916753 1.284352 2.503040 1.217675 2.610119 3.125112 1.589130 1.320244 0.833181 1.709797 0.609179 1.533110 0.469955 0.987393 1.161618 1.633746 1.586771 2.240149 0.468727 8.700189 4.287681 2.314999 1.400068 2.442890 0.794961 0.550883 0.769317 6.685282 0.001398 70.158131 4.931878 1.220961 1.000000 0.952553 738011055820223440000000.000000 1.268574 23.794118 3813.814702 -3755.559986 0.130558
5.000000e+002 386331.146356 350982.024375 26635.916270 61398.574239 71521.666571 2049.283026 4166.965074 816.966176 43101.140210 18407.327965 711.301576 10596.587609 2519.768371 21420.071156 1522375.212853 364585.139858 6414.175080 289728.357559 31326.933686 1383710.920941 8322715.247967 1874641.032242 70711.345750 698635.719392 27574.444105 463870.622827 430500.761710 1144549.942595 81.345575 917533.419507 1794106.752219 312580.069818 0.000000 172271811.143693 2.707879 1.535040 2.759455 1.448634 2.707052 3.533730 1.593483 1.112942 0.726798 2.529900 0.700727 1.637344 0.464252 1.169089 1.008916 1.097391 0.645848 1.766578 0.464849 10.600960 4.366880 2.429519 1.499656 2.925178 0.740257 0.473750 0.734080 4.511548 0.000399 176.430559 5.745021 1.000932 1.000000 0.954485 0.506031 2.417510 25.176471 3220.901103 -4191.074551 0.269019
6.000000e+002 400843.031761 426181.041606 29881.973629 74699.818759 83963.034932 2593.248385 4992.817026 1119.349795 40715.213024 29236.499240 817.966536 13658.035716 4259.803441 25987.619652 1652162.743494 589661.754431 21502.827207 314308.669244 32113.099448 866100.468496 6345350.920260 1985082.477012 92318.327940 870029.534561 25422.331726 408885.708048 410529.547619 3034152.344400 15.793509 598553.978221 1728876.948092 458734.186155 0.000000 173791148.617827 2.809596 1.863927 3.095743 1.762463 3.177951 4.471730 1.909296 1.524875 0.686565 4.018259 0.805806 2.110387 0.784843 1.418382 1.094929 1.774866 2.165136 1.916453 0.476515 6.635415 3.329369 2.572651 1.957900 3.642801 0.682481 0.417594 0.700026 11.959918 0.000077 115.094677 5.536144 1.468941 1.000000 0.962903 0.349345 2.105653 27.500000 2717.927102 -4452.801744 0.124977
7.000000e+002 438538.104581 328919.021661 33066.503253 76636.698270 68253.667789 2898.447048 2679.757272 1401.229021 33175.037410 23605.024978 583.151349 16226.310739 3414.549967 29273.937185 1356325.017050 478845.878385 9576.022389 392342.611351 32778.461234 639768.020956 6079214.874462 1996152.616593 127082.061535 1099626.812504 23803.252299 375932.311931 390195.157290 2296566.371537 3.508645 260651.638301 1668154.330957 521358.215938 0.000000 174795010.602380 3.073808 1.438546 3.425658 1.808161 2.583361 4.998007 1.024762 1.908875 0.559418 3.244270 0.574482 2.507227 0.629110 1.597747 0.898870 1.441313 0.964217 2.392255 0.486388 4.901425 3.189729 2.586997 2.695174 4.604122 0.639016 0.383939 0.665352 9.052526 0.000017 50.120152 5.341701 1.669474 1.000000 0.968465 0.406356 2.587949 27.588235 2247.924106 -5153.125920 0.119092
7.300000e+002 430962.117069 326346.073844 32590.831360 73530.007360 68713.898646 2981.242039 2523.183177 1510.280087 32101.824290 26276.848291 597.651481 17134.841170 3432.120892 30663.054609 1275713.805790 417442.850542 6664.891982 390155.887791 32491.886495 645571.910571 6040958.973187 1995379.472112 132509.544445 1158942.483430 23402.106276 366577.493776 384201.791052 2020985.034932 2.625797 202778.175332 1714617.394120 439546.706193 0.000000 175023834.585550 3.020707 1.427293 3.376379 1.734862 2.600780 5.140776 0.964887 2.057434 0.541321 3.611485 0.588766 2.647610 0.632348 1.673564 0.845447 1.256492 0.671093 2.378921 0.482135 4.945890 3.169656 2.585995 2.810281 4.852476 0.628247 0.374385 0.655132 7.966249 0.000013 38.991786 5.490483 1.407500 1.000000 0.969733 544036238427603480000000.000000 0.798912 23.794118 2124.915521 -5067.406698 0.116220
