Time ALE-M BLT-M SSP-M DSP-M LWF-M RDG-M YPH-M WAE-M RSM-M CHK-M CHO-M STH-M LKT-M BBT-M COP-M CLA-M BYT-M MYS-M ROT-M PRO-M PB-M BB-M AMP-M DRE-M CHI-M DIP-M OLI-M GRN-M PIC-M MA-M DL-M DR-M DC-M ALE-F BLT-F SSP-F DSP-F LWF-F RDG-F YPH-F WAE-F RSM-F CHK-F CHO-F STH-F LKT-F BBT-F COP-F CLA-F BYT-F MYS-F ROT-F PRO-F PB-F BB-F AMP-F DRE-F CHI-F DIP-F OLI-F GRN-F PIC-F MA-F DL-F DR-F DC-F
3.650000e+003 6.309364e+003 4.895830e+002 5.799467e+001 6.300884e+001 6.622934e-003 7.998882e+000 8.154984e+000 0.000000e+000 2.774315e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.361144e-013 8.468054e-014 1.555369e-013 1.287684e-013 2.771554e-015 9.340046e-014 7.599307e-013 1.264274e-012 1.087887e-012 8.772725e-016 8.272005e-014 9.607925e-013 1.235670e-012 3.112796e-014 6.791194e-014 5.096939e-011 5.221072e-013 8.896103e-013 0.000000e+000 5.357043e-005 9.535264e-005 0.000000e+000 0.000000e+000 1.482195e-001 0.000000e+000 1.574498e-002 1.080079e-001 5.990851e-002 2.194234e-001 1.217524e-002 2.075469e-002 2.629318e+007 5.524978e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
4.015000e+003 9.387643e+002 1.025489e+002 4.819189e+001 5.273212e+001 1.869960e-002 7.792443e+000 2.932386e+000 0.000000e+000 2.992334e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.078679e-013 9.539379e-014 1.909537e-013 1.136585e-013 1.917703e-015 2.562491e-014 1.975693e-014 1.157614e-012 1.066268e-012 9.340317e-016 1.348819e-013 1.053057e-012 1.255456e-012 2.631818e-014 5.640296e-014 4.985399e-011 1.378492e-014 2.540132e-014 0.000000e+000 1.667693e-004 8.954618e-004 0.000000e+000 0.000000e+000 3.969113e-001 0.000000e+000 3.885555e-002 1.332859e-001 8.455585e-002 8.871380e-001 5.030739e-001 2.577180e-002 2.479461e+007 6.189891e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
4.380000e+003 6.718733e+000 1.288774e+001 3.567297e+001 3.905735e+001 1.311064e-002 6.732257e+000 3.541594e+000 0.000000e+000 2.775576e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 1.479111e-013 7.522874e-014 2.728477e-013 9.778205e-014 1.353021e-015 6.274211e-013 1.203545e-013 1.172612e-012 1.104708e-012 9.945050e-016 2.374219e-013 1.179673e-012 1.331289e-012 2.933313e-014 2.125360e-014 7.172621e-011 5.333936e-013 4.770557e-013 0.000000e+000 1.456159e-002 8.270549e-003 0.000000e+000 0.000000e+000 2.475609e-001 0.000000e+000 4.257104e-002 2.194765e-002 1.213181e-001 7.852642e-001 1.212146e-002 3.048447e-002 2.642942e+007 6.722788e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
4.745000e+003 6.059616e-001 1.415143e+000 2.578425e+001 2.849437e+001 1.202868e-002 6.320551e+000 4.908788e+000 0.000000e+000 2.241115e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 5.268103e-013 1.739832e-013 5.217415e-013 1.274336e-013 1.942166e-015 9.207927e-014 1.467973e-014 1.147168e-012 1.133203e-012 1.048016e-015 4.157790e-013 1.245911e-012 1.441339e-012 3.801628e-014 2.472070e-013 4.729195e-011 1.316644e-014 2.675992e-014 0.000000e+000 1.084991e-001 5.218173e-002 0.000000e+000 0.000000e+000 1.643025e-001 0.000000e+000 4.095311e-002 4.706919e-002 1.413542e-001 3.041759e-001 1.627537e-001 2.836697e-002 2.533955e+007 6.923416e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.110000e+003 7.411578e+001 2.589636e-001 1.514679e+001 1.745730e+001 1.107230e-002 5.901726e+000 5.526497e+000 0.000000e+000 1.937093e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.992448e-013 1.388845e-013 3.057843e-013 1.296318e-013 1.371819e-015 1.270528e-013 1.062578e-014 9.152907e-013 9.482498e-013 1.080491e-015 6.006910e-013 1.221794e-012 1.215563e-012 2.840747e-014 6.898441e-015 3.994950e-011 8.614107e-015 1.991682e-014 0.000000e+000 2.379227e-003 1.214468e-001 0.000000e+000 0.000000e+000 1.675502e-001 0.000000e+000 3.446083e-002 1.034266e-001 9.666842e-002 1.292886e-001 4.262548e-003 2.568755e-002 2.561201e+007 6.784084e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.475000e+003 7.318988e+001 1.707112e-001 1.321532e+001 1.548017e+001 1.074485e-002 5.566202e+000 4.880284e+000 0.000000e+000 1.752020e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 1.057992e-013 1.536146e-013 1.295000e-013 1.130710e-013 6.825285e-016 5.576817e-013 9.663906e-014 7.880728e-013 8.508309e-013 1.143352e-015 7.530921e-013 1.131341e-012 1.064947e-012 1.367036e-014 1.065716e-013 6.695226e-011 2.596816e-013 3.454809e-013 0.000000e+000 1.883713e-003 1.521815e-001 0.000000e+000 0.000000e+000 2.344983e-001 0.000000e+000 3.737144e-002 3.681533e-002 7.987422e-002 2.733689e-001 1.100342e-002 2.160300e-002 2.574825e+007 6.692484e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
5.840000e+003 2.499019e+001 1.575834e-001 1.261508e+001 1.509427e+001 1.170617e-002 5.467513e+000 4.515108e+000 0.000000e+000 1.824799e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.839990e-013 1.113387e-013 3.009766e-013 9.218791e-014 1.753879e-015 7.180140e-013 1.187358e-013 9.474649e-013 1.050929e-012 1.062675e-015 9.678856e-013 1.245083e-012 1.225296e-012 2.453785e-014 6.562204e-015 1.052511e-010 3.365567e-013 3.623842e-013 0.000000e+000 2.847390e-003 1.508665e-001 0.000000e+000 0.000000e+000 2.848362e-001 0.000000e+000 3.693742e-002 2.381279e-002 6.161198e-002 8.313126e-001 1.920881e-002 2.469975e-002 2.629318e+007 6.009104e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
6.205000e+003 7.936756e-001 1.503420e-001 1.079263e+001 1.303459e+001 1.188621e-002 5.222522e+000 4.515488e+000 0.000000e+000 1.765966e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.447169e-013 2.569371e-013 3.533070e-013 9.269387e-014 1.741802e-015 1.130195e-013 1.138451e-014 1.061401e-012 1.142489e-012 1.037542e-015 1.130878e-012 1.299061e-012 1.235766e-012 2.933569e-014 5.603988e-015 4.026864e-011 8.535086e-015 1.154699e-014 0.000000e+000 7.653736e-002 1.625762e-001 0.000000e+000 0.000000e+000 2.526819e-001 0.000000e+000 4.538560e-002 3.589622e-002 9.320486e-002 4.407570e-001 1.956511e-002 2.579477e-002 2.670189e+007 5.999589e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
6.570000e+003 1.272217e+000 1.544184e-001 9.794786e+000 1.160389e+001 1.452308e-002 5.164096e+000 4.757174e+000 0.000000e+000 1.901847e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 3.355222e-013 3.830271e-013 4.168646e-013 1.252813e-013 2.610249e-015 4.810974e-013 1.668210e-014 1.081353e-012 1.200631e-012 1.034067e-015 1.321726e-012 1.356036e-012 1.476825e-012 4.257882e-014 1.388444e-014 3.559105e-011 1.787913e-014 4.587876e-014 0.000000e+000 4.435834e-002 1.641031e-001 0.000000e+000 0.000000e+000 2.217060e-001 0.000000e+000 4.601097e-002 3.311074e-002 8.919353e-002 8.175577e-002 1.192508e-002 2.184036e-002 2.779176e+007 6.401531e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
6.935000e+003 2.917367e+001 1.483813e-001 9.692171e+000 1.123491e+001 1.183354e-002 5.426881e+000 4.406161e+000 0.000000e+000 1.786766e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 4.793510e-013 4.642947e-013 5.290286e-013 1.417465e-013 3.571321e-015 1.652425e-012 1.253647e-013 1.084072e-012 1.268082e-012 9.553702e-016 1.472844e-012 1.389957e-012 1.550084e-012 5.575178e-014 5.158266e-014 8.612618e-011 1.929195e-012 1.588700e-012 0.000000e+000 5.847880e-003 1.692770e-001 0.000000e+000 0.000000e+000 1.638812e-001 0.000000e+000 5.115796e-002 9.119531e-002 7.589143e-002 6.734645e-002 1.095608e-002 2.639960e-002 2.751929e+007 6.835754e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
