Time ALE BLT SSP DSP LWF RDG YPH WAE RSM CHK CHO STH LKT BBT COP CLA BYT MYS ROT PRO PB BB AMP CHI DIP OLI GRN PIC MA DL DR DC DIN RelALE RelBLT RelSSP RelDSP RelLWF RelRDG RelYPH RelWAE RelRSM RelCHK RelCHO RelSTH RelLKT RelBBT RelCOP RelCLA RelBYT RelMYS RelROT RelPRO RelPB RelBB RelAMP RelCHI RelDIP RelOLI RelGRN RelPIC RelMA RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+000 142669.300600 228646.802345 9652.600000 42383.769780 26420.495602 579.920592 2615.004304 734.060000 59302.742204 7275.912160 1015.091259 6471.814673 5427.586354 18322.011742 1508922.249056 332228.914328 9931.398138 164005.376690 67391.630305 130526.947155 1905872.131347 771609.834352 47151.709509 37249.850512 979146.505634 586449.387023 253693.416859 203816.798616 5200.535705 312289.003230 312289.003230 0.000000 180486629.244492 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 -734.252719 3.679412
1.000000e+002 150071.443601 227565.848453 10894.190724 38815.403806 28419.243591 792.736828 2652.303871 561.555987 54565.437600 8365.862767 1052.973008 7062.501570 5286.801452 15535.903276 1393216.172947 276500.305931 7653.039878 172254.435210 66890.207709 139274.681390 13090806.442258 1124040.339461 47236.355498 35430.207915 874827.665501 550964.609794 147649.924280 57151.944323 2245347.886265 677108.039170 312862.420147 0.000000 172049041.080307 1.051883 0.995272 1.128628 0.915808 1.075651 1.366975 1.014264 0.765000 0.920117 1.149803 1.037319 1.091271 0.974061 0.847937 0.923319 0.832258 0.770590 1.050297 0.992560 1.067019 6.868670 1.456747 1.001795 0.951150 0.893459 0.939492 0.582001 0.280408 431.753191 2.168210 1.001836 1.000000 0.953251 0.500586 1.736920 24.382353 26453492419.062927 -974.491721 0.396983
2.000000e+002 188802.783875 295767.323832 12485.519234 46161.422784 36615.299508 981.834550 2811.963906 642.607216 50094.714296 11726.012181 1286.581856 7564.290377 4142.981050 18540.785253 1985591.106895 510939.618431 5826.348818 220101.911294 57062.181088 675166.411618 10115492.710856 1449315.524712 49929.031283 33455.951590 718493.757797 514656.600527 2417901.372185 12324.663683 2236320.919045 1193746.389483 300667.386690 0.000000 174405548.302597 1.323360 1.293555 1.293488 1.089130 1.385867 1.693050 1.075319 0.875415 0.844728 1.611621 1.267454 1.168805 0.763319 1.011940 1.315900 1.537914 0.586659 1.342041 0.846725 5.172621 5.307540 1.878301 1.058902 0.898150 0.733796 0.877581 9.530801 0.060469 430.017415 3.822569 0.962786 1.000000 0.966307 0.372586 2.176640 26.647059 24241829337.189968 -1449.825222 0.508590
3.000000e+002 325561.250749 327309.317162 24144.168746 53660.799218 64726.571571 1253.059338 3564.932087 779.979998 49379.223046 8018.230623 553.823658 8547.349409 2644.475849 20565.882043 1886011.973709 631253.471022 16403.157368 328269.955103 35343.623012 1404503.664345 8428876.658038 1627461.826025 57218.622610 31405.839150 620364.937370 478805.661474 1962232.040358 1535.609649 1428555.691999 1462088.061038 309610.444177 0.000000 174111659.070198 2.281929 1.431506 2.501312 1.266070 2.449862 2.160743 1.363261 1.062556 0.832663 1.102024 0.545590 1.320704 0.487229 1.122469 1.249907 1.900056 1.651646 2.001580 0.524451 10.760258 4.422582 2.109177 1.213500 0.843113 0.633577 0.816448 7.734659 0.007534 274.693949 4.681843 0.991423 1.000000 0.964679 0.366562 3.890259 26.617647 21995148566.515373 -3736.368517 0.526495
3.650000e+002 386947.621082 339951.113170 23644.591189 50728.099004 64921.904658 1387.735436 3995.444405 912.355248 49151.099658 10835.838209 600.384475 9452.980833 2567.866965 22735.363462 1813634.784138 579629.772427 13271.733855 398776.241552 31815.455374 1706235.727451 8509300.047298 1658181.436314 62994.845824 30099.725420 565155.015511 456006.575440 1987667.309016 445.872515 766977.522341 1586090.787221 259331.264083 0.000000 172105755.914205 2.712200 1.486796 2.449557 1.196876 2.457255 2.392975 1.527892 1.242889 0.828817 1.489276 0.591459 1.460638 0.473114 1.240877 1.201941 1.744670 1.336341 2.431483 0.472098 13.071904 4.464780 2.148990 1.336003 0.808050 0.577191 0.777572 7.834919 0.002188 147.480484 5.078920 0.830421 1.000000 0.953565 707580024198371840000000.000000 1.279487 22.794118 20601139719.814819 -3662.862033 0.331746
4.000000e+002 397583.568352 293737.466987 24154.647586 51607.801512 68154.189957 1483.744807 4069.545994 961.117808 48539.056018 12282.482082 616.298293 9851.803430 2546.972287 18065.169892 1721847.463826 506394.769497 12730.768952 370369.115548 31557.205245 1921635.910053 8560421.859084 1681886.033618 65005.413161 29496.495332 545393.030554 446442.883892 1739911.340009 277.257274 417582.086064 1680152.487968 220296.256973 0.000000 171894613.129225 2.786749 1.284678 2.502398 1.217631 2.579595 2.558531 1.556229 1.309318 0.818496 1.688102 0.607136 1.522263 0.469264 0.985982 1.141111 1.524234 1.281871 2.258274 0.468266 14.722139 4.491603 2.179710 1.378644 0.791855 0.557009 0.761264 6.858323 0.001360 80.295975 5.380121 0.705424 1.000000 0.952395 723993658906379980000000.000000 1.229907 22.764706 19669783303.342388 -3755.134462 0.161558
5.000000e+002 368728.909665 351417.064885 26625.923091 61424.802316 70743.390815 1527.882106 4061.000469 806.148080 42152.345877 17993.352327 707.700560 10451.984110 2512.417638 21361.778775 1501034.900450 345129.996191 5852.290055 297270.284880 31317.951781 2190737.570731 8818516.692485 1780106.389295 69626.022761 27472.441158 470991.057094 425760.799973 1189447.921069 79.048601 1010217.088996 1921857.339502 176890.270377 0.000000 172134818.765970 2.584501 1.536943 2.758420 1.449253 2.677595 2.634640 1.552961 1.098205 0.710799 2.473003 0.697179 1.615001 0.462898 1.165908 0.994773 1.038832 0.589272 1.812564 0.464716 16.783795 4.627024 2.307003 1.476638 0.737518 0.481022 0.725998 4.688525 0.000388 194.252505 6.154099 0.566431 1.000000 0.953726 0.491463 2.356501 24.235294 17821898574.532036 -4190.615328 0.322470
6.000000e+002 379325.051976 427373.010625 29865.751816 74781.530261 84043.998178 1732.789465 4822.027429 1094.442816 39307.825030 28327.339632 811.108529 13357.255704 4237.174246 25880.032412 1532152.455616 471751.750172 22793.612066 327590.814488 32826.453219 942359.847172 6692121.487658 1899755.091524 90422.396769 25324.482224 416037.785733 405724.282001 2466392.414795 14.981670 772651.872154 1950040.709812 260064.558584 0.000000 176007561.719423 2.658771 1.869141 3.094063 1.764391 3.181015 2.987977 1.843985 1.490945 0.662833 3.893304 0.799050 2.063912 0.780674 1.412510 1.015395 1.419960 2.295106 1.997439 0.487100 7.219657 3.511317 2.462067 1.917691 0.679855 0.424898 0.691832 9.721941 0.000074 148.571593 6.244346 0.832769 1.000000 0.975183 0.335224 2.051514 26.529412 16737050051.604128 -4453.915264 0.086735
7.000000e+002 412417.619638 330220.027779 33054.718941 76737.941419 69876.282910 1745.867543 2564.480238 1351.278762 31827.967917 22550.006033 575.719607 15742.253577 3383.908050 29110.552214 1356128.676215 437922.516691 9241.320943 411130.735700 33857.991360 861487.341616 6233340.357134 1896194.843694 125458.574459 23678.169921 381519.548166 385236.786472 2267894.480408 6.815363 432067.999407 1932496.488578 267457.593063 0.000000 176366572.759867 2.890724 1.444236 3.424437 1.810550 2.644776 3.010529 0.980679 1.840829 0.536703 3.099269 0.567160 2.432433 0.623465 1.588829 0.898740 1.318135 0.930516 2.506813 0.502406 6.600073 3.270597 2.457453 2.660743 0.635658 0.389645 0.656897 8.939509 0.000033 83.081441 6.188167 0.856443 1.000000 0.977173 0.383214 2.529787 26.558824 15682484289.667925 -5156.403127 0.053301
7.300000e+002 404946.820621 327782.230995 32577.592144 73656.488648 70283.923185 1734.747973 2408.373766 1451.709416 30766.604975 25011.687890 589.511037 16581.851894 3396.804613 30477.086281 1280661.659868 383796.432509 6638.238691 411195.851137 33493.265711 890120.120993 6262234.874487 1899862.952944 131210.654210 23273.217501 372528.248092 379303.363189 2023780.285611 6.144326 294656.999595 1986709.605313 235706.550174 0.000000 176360126.525308 2.838360 1.433575 3.375007 1.737847 2.660205 2.991354 0.920983 1.977644 0.518806 3.437602 0.580747 2.562164 0.625841 1.663414 0.848726 1.155217 0.668409 2.507210 0.496994 6.819436 3.285758 2.462207 2.782734 0.624787 0.380462 0.646779 7.977268 0.000030 56.658971 6.361766 0.754771 1.000000 0.977137 520340647348439160000000.000000 0.782831 22.705882 16519514217.483788 -5071.243406 0.037436
